{re = 8.28421307, im = 0}
{re = -0.344975442, im = -0.17763868}
{re = -0.94802767, im = -5.96239948}
{re = -0.344410598, im = 0.021033287}
{re = -0.346067637, im = -0.302784622}
{re = -0.347126931, im = 0.387300193}
{re = -0.353351653, im = -0.702179909}
{re = -0.344908953, im = 0.167104095}
{re = -0.362432003, im = 0.997240841}
{re = -0.34465462, im = -0.117782533}
{re = -0.375163972, im = -1.30355871}
{re = -0.34455049, im = 0.0902370214}
{re = -0.345125824, im = -0.19954896}
{re = -0.350675732, im = 0.587846398}
{re = -0.461405963, im = 2.55492496}
{re = -0.344441503, im = -0.0464985371}
{re = -0.348082215, im = -0.450160742}
{re = -0.345635086, im = 0.260519505}
{re = -2.26305485, im = 11.3619251}
{re = -0.344405413, im = -0.0126099586}
{re = -0.346870303, im = -0.368647724}
{re = -0.346240878, im = 0.318102032}
{re = -0.359841317, im = -0.922682166}
{re = -0.344696373, im = 0.127262592}
{re = -0.354564577, im = 0.748332381}
{re = -0.344849497, im = -0.156819373}
{re = -0.427442968, im = -2.14822817}
{re = -0.344457388, im = 0.0550861359}
{re = -0.345514804, im = -0.247487992}
{re = -0.34848085, im = 0.473879486}
{re = -0.382324457, im = 1.44793701}
{re = -0.344522536, im = -0.0813061595}
{re = -0.350014299, im = -0.555972874}
{re = -0.345210999, im = 0.210974216}
{re = 21.7979927, im = -43.6902466}
{re = -0.344402313, im = -0.00420188904}
{re = -0.346641064, im = -0.350957394}
{re = -0.346429348, im = 0.334134579}
{re = -0.357736886, im = -0.857414126}
{re = -0.344742477, im = 0.136917979}
{re = -0.356006831, im = 0.799735069}
{re = -0.344794065, im = -0.146762818}
{re = -0.406270593, im = -1.85198617}
{re = -0.344476491, im = 0.0637428761}
{re = -0.345405042, im = -0.234910309}
{re = -0.34892863, im = 0.499269783}
{re = -0.392177105, im = 1.62612653}
{re = -0.344497085, im = -0.0724779367}
{re = -0.349436224, im = -0.526549518}
{re = -0.345304191, im = 0.222752154}
{re = -0.641429186, im = -4.1124506}
{re = -0.344417989, im = 0.0294821262}
{re = -0.345910281, im = -0.288119256}
{re = -0.347410887, im = 0.407020628}
{re = -0.352319807, im = -0.660464764}
{re = -0.344975442, im = 0.17763868}
{re = -0.365671635, im = 1.08334398}
{re = -0.344615757, im = -0.108461827}
{re = -0.52109158, im = 3.15036035}
{re = -0.344427884, im = -0.0379655361}
{re = -0.347728938, im = -0.427929103}
{re = -0.345766395, im = 0.274047911}
{re = -0.369797409, im = -1.1840415}
{re = -0.344581306, im = 0.0992833972}
{re = -0.35143736, im = 0.622529984}
{re = -0.345047325, im = -0.188445956}
{re = -2.26305485, im = -11.3619251}
{re = -0.344405413, im = 0.0126099586}
{re = -0.346240878, im = -0.318102032}
{re = -0.346870303, im = 0.368647724}
{re = -0.354564577, im = -0.748332381}
{re = -0.344849497, im = 0.156819373}
{re = -0.359841317, im = 0.922682166}
{re = -0.344696373, im = -0.127262592}
{re = -0.382324457, im = -1.44793701}
{re = -0.344522536, im = 0.0813061595}
{re = -0.345210999, im = -0.210974216}
{re = -0.350014299, im = 0.555972874}
{re = -0.427442968, im = 2.14822817}
{re = -0.344457388, im = -0.0550861359}
{re = -0.34848085, im = -0.473879486}
{re = -0.345514804, im = 0.247487992}
{re = -0.94802767, im = 5.96239948}
{re = -0.344410598, im = -0.021033287}
{re = -0.347126931, im = -0.387300193}
{re = -0.346067637, im = 0.302784622}
{re = -0.362432003, im = -0.997240841}
{re = -0.34465462, im = 0.117782533}
{re = -0.353351653, im = 0.702179909}
{re = -0.344908953, im = -0.167104095}
{re = -0.461405963, im = -2.55492496}
{re = -0.344441503, im = 0.0464985371}
{re = -0.345635086, im = -0.260519505}
{re = -0.348082215, im = 0.450160742}
{re = -0.375163972, im = 1.30355871}
{re = -0.34455049, im = -0.0902370214}
{re = -0.350675732, im = -0.587846398}
{re = -0.345125824, im = 0.19954896}
{re = 9.83765602, im = 10.044981}
{re = -0.34440279, im = 0.00210046768}
{re = -0.346480846, im = -0.33826375}
{re = -0.346584797, im = 0.34667325}
{re = -0.356409073, im = -0.81352073}
{re = -0.344780445, im = 0.144282401}
{re = -0.357273608, im = 0.842340112}
{re = -0.344755143, im = -0.139360309}
{re = -0.39522171, im = -1.67742848}
{re = -0.344492376, im = 0.0702867508}
{re = -0.345327228, im = -0.225754857}
{re = -0.349303335, im = 0.519538462}
{re = -0.402225971, im = 1.79001677}
{re = -0.344481766, im = -0.0659189224}
{re = -0.349049658, im = -0.505903363}
{re = -0.345378846, im = 0.231833696}
{re = -0.543160915, im = -3.34551501}
{re = -0.344426274, im = 0.0358424187}
{re = -0.345801771, im = -0.277512789}
{re = -0.347645462, im = 0.422581911}
{re = -0.351645827, im = -0.631690621}
{re = -0.345028877, im = 0.185716838}
{re = -0.368666291, im = 1.1572926}
{re = -0.34458971, im = -0.10156554}
{re = -0.601808369, im = 3.81985474}
{re = -0.344420612, im = -0.0315995216}
{re = -0.347486794, im = -0.412130654}
{re = -0.345873654, im = 0.284548104}
{re = -0.366608858, im = -1.10700881}
{re = -0.3446064, im = 0.106154799}
{re = -0.352086693, im = 0.650648832}
{re = -0.344992846, im = -0.180313855}
{re = -1.10244489, im = -6.73730469}
{re = -0.344408959, im = 0.0189254284}
{re = -0.346109182, im = -0.306550771}
{re = -0.347060472, im = 0.382540733}
{re = -0.353635639, im = -0.713273048}
{re = -0.344894201, im = 0.164510518}
{re = -0.361730993, im = 0.977618217}
{re = -0.344664752, im = -0.120137066}
{re = -0.376758337, im = -1.33703411}
{re = -0.344542921, im = 0.087993741}
{re = -0.345146, im = -0.202373952}
{re = -0.350501776, im = 0.579629421}
{re = -0.451206863, im = 2.43960285}
{re = -0.344444633, im = -0.0486412048}
{re = -0.348177761, im = -0.455943525}
{re = -0.345603794, im = 0.257217228}
{re = -1.67499757, im = 9.19431114}
{re = -0.344405711, im = -0.0147147179}
{re = -0.346931428, im = -0.37321645}
{re = -0.346196145, im = 0.314208329}
{re = -0.360438079, im = -0.940373778}
{re = -0.344685942, im = 0.124876589}
